"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.42459648061021e-42,0.813299531896292,0.77,0.56,1.95369161350884e-38,"0","ZFP36L2"
2.4002042590245e-42,-1.28183128777011,0.792,0.83,3.29164012082619e-38,"0","S100A4"
2.82370948672561e-42,-1.04543707725068,0.679,0.804,3.8724351900955e-38,"0","ARPC1B"
3.25049740872898e-42,-1.75976575960722,0.212,0.413,4.45773214633093e-38,"0","CEBPB"
6.45380706894909e-42,0.937041655923999,0.565,0.32,8.85075101435678e-38,"0","TMEM123"
7.93152371974336e-42,-2.9626892621004,0.028,0.187,1.0877291629256e-37,"0","LYL1"
8.64886804738529e-42,-2.90989359765528,0.031,0.193,1.18610576401842e-37,"0","ODF3B"
9.53876463719745e-42,-1.29057905812513,0.357,0.563,1.30814618234526e-37,"0","ITGB2"
4.92629242766482e-41,0.538893411308738,0.942,0.845,6.75591743529953e-37,"0","RPS4Y1"
7.12553015777073e-41,-2.88723252092139,0.027,0.187,9.77195205836678e-37,"0","TBXAS1"
9.565046629644e-41,0.670522461980258,0.796,0.58,1.31175049478938e-36,"0","HSPA8"
1.10049540060901e-40,-1.30202826831204,0.262,0.486,1.5092193923952e-36,"0","H3F3A"
1.3413163352354e-40,-2.6945526870769,0.035,0.195,1.83948122214183e-36,"0","LYST"
1.63945670372402e-40,-3.68527504480689,0.018,0.163,2.24835092348712e-36,"0","C5AR1"
2.59369145280709e-40,0.751644941278287,0.826,0.676,3.55698845837964e-36,"0","JUN"
2.60783287571381e-40,0.268697913558618,1,0.991,3.57638200575392e-36,"0","RPL28"
3.17400592406058e-40,-4.88637270354128,0.009,0.147,4.35283172425668e-36,"0","IGFBP7"
3.53012871223797e-40,2.92924620426791,0.229,0.046,4.84121851596316e-36,"0","LDLRAP1"
3.75736309162216e-40,-5.22728869094537,0.01,0.138,5.15284774385063e-36,"0","LINC00926"
5.81747662258417e-40,-3.06194442200859,0.024,0.174,7.97808744021193e-36,"0","CYBB"
6.20490785854641e-40,-1.5324097454896,0.167,0.383,8.50941063721055e-36,"0","CARD16"
8.16789235622818e-40,-4.2225844028122,0.009,0.146,1.12014475773313e-35,"0","FCGR2A"
8.23042900081546e-40,-2.33825493231136,0.062,0.238,1.12872103317183e-35,"0","POU2F2"
1.28040882759844e-39,-1.98532363498642,0.093,0.285,1.7559526661685e-35,"0","CTSB"
1.72159579808864e-39,0.336401296530207,0.997,0.991,2.36099647749876e-35,"0","RPL6"
2.50955772767212e-39,0.42681875066171,0.978,0.942,3.44160746772955e-35,"0","RPL27"
2.87290488785724e-39,1.55086782401271,0.333,0.111,3.93990176320742e-35,"0","SPOCK2"
8.63740103063996e-39,0.280544620212593,0.999,0.986,1.18453317734196e-34,"0","RPL12"
1.04132454338164e-38,-3.61897274308791,0.015,0.149,1.42807247879358e-34,"0","SLC11A1"
1.48100312515755e-38,-0.824813951138218,0.754,0.841,2.03104768584107e-34,"0","ARPC2"
2.22953683657398e-38,-2.19583353365059,0.057,0.228,3.05758681767755e-34,"0","AGTRAP"
2.28216830522783e-38,0.394508243304129,0.991,0.967,3.12976561378944e-34,"0","RPL7A"
